username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
,11/28/16 07:29,0,2,. @ArvindKejriwal sir kabhi 2 aisa lagta hai ki SANSANI me aap hi to nahi the lambe balon aur badhi dadi ke andar #JantaVsNeta #Demonetizaton https:// twitter.com/arvindkejriwal /status/803131429483728896 äó_,,@ArvindKejriwal,#JantaVsNeta #Demonetizaton,8.03E+17,https://twitter.com/IamVarunBhatia/status/803214346562260992,
,11/28/16 06:54,0,0,... It is best to prepare for the days of necessity. #Demonetizaton,,,#Demonetizaton,8.03E+17,https://twitter.com/dailyonion/status/803205394889785344,
,11/28/16 06:51,180,340,Akrosh Diwas is a big flop show. People have expressed outstanding support & confidence to Sh. @narendramodi #Demonetizaton .My statement pic.twitter.com/QL693wus4q,,@narendramodi,#Demonetizaton,8.03E+17,https://twitter.com/BSYBJP/status/803204653122846721,
,11/28/16 05:53,1,2,Given huge divergence in forecasts of impact of #Demonetizaton on India's econ,,,,,,
,11/28/16 03:54,0,0,From E-Wallets,,,,,,
,11/28/16 03:17,0,0,2/ A week means 7 days from your first withdrwal date either in ATM or at the branch #Demonetizaton,,,#Demonetizaton,8.03E+17,https://twitter.com/AmmU_MaanU/status/803150874956558337,
,11/28/16 02:17,1285,1219,Opposition has laid a trap to invite @narendramodi for a debate in parliament. #Demonetizaton pic.twitter.com/4XBwVzlNVI,,@narendramodi,#Demonetizaton,8.03E+17,https://twitter.com/RoflGandhi_/status/803135682965143552,
,11/28/16 01:56,0,0,Can Demonetizaton really stamp out corruption & black money ? Remember wht Modi has done is NOTEBADLI not NOTEBANDI as per economic rules.,,,,8.03E+17,https://twitter.com/sundaram333/status/803130305301319680,
,11/28/16 01:49,0,0,Every BCom pass and his uncle is #Demonizing #Demonetizaton The closer they are to those who lost,,,,,,
,11/27/16 15:20,0,0,Good news for Intolerance brigade ! #Demonetizaton will wipe out the real Intolerance of the rich over the poor. @DrGPradhan @TarekFatah,,@DrGPradhan @TarekFatah,#Demonetizaton,8.03E+17,https://twitter.com/venkySyadav/status/802970264522919940,
,11/27/16 12:04,3,8,ö_Èö«šö_Ÿö«ˆ ö_´ö_¬ ö__ö_Áö«ö__ ö__ö«† ö_Áö__ö«ˆ ö__ö«šö_‰.. ö_´ö__ö«ó ö_ö_Ÿö__ ö_Âö__ ö__ö«† ö_ìö__ö_¿ö«ˆ ö_´ö_Ë.. ö_åö«šö_‰ö_´ ö_Ÿö«ˆ ö_´ö_¬ ö_µö_Ëö_çö«ö_Áö__ö_µö__ ö_´ö«ˆ ö_Êö__ö__ö_Á ö_Èö_Á ö_Ÿö«ˆö__ö_Áö«ó ö__ö«ó ö_´ö_¬ ö_´ö_Á ö__ö«ó ö_ìö__ö_¿ö«ˆ..ö«_ #Demonetizaton,,,#Demonetizaton,8.03E+17,https://twitter.com/hmtksoni/status/802921018989875201,
,11/27/16 11:57,0,0,India is one of the rarest democarcy to implement#Demonetizaton . Rubbing shoulders with the likes of Zimbabwe,,,,,,
,11/27/16 11:24,0,1,congress clarifies that 28th Nov 2016 to be held as Jan Aakrosh Diwas against anti-corruption #Demonetizaton https:// twitter.com/INCIndia/statu s/802878382945906690 äó_,,,#Demonetizaton,8.03E+17,https://twitter.com/SupariTroller/status/802910965020827648,
,11/27/16 10:48,1,2,#BJP #Demonetizaton #Presstitute #MoDisaster #KrantikaariQueen #India #BlackMoney #Pappu . . . . . . . . . . . #Good_night,,,#BJP #Demonetizaton #Presstitute #MoDisaster #KrantikaariQueen #India #BlackMoney #Pappu #Good_night,8.03E+17,https://twitter.com/AbhisarAbhi/status/802901875766992896,
,11/27/16 10:45,172,495,#IndiaFightsCorruption Electric atmosphere & Tremendous response to #Demonetizaton @PM @narendramodi ji's rally in Agra,,,,,,
,11/27/16 10:40,3,6,All those hit hard by #Demonetizaton are invited to your own #ö__ö«†ö_Áö«†ö_‰_ö_´ö«ó_ö_åö__ö_Áö__ö__ Please RSVP to your paid & infamous #Presstitute -Bharatiya,,,#Demonetizaton #ö__ #Presstitute,8.03E+17,https://twitter.com/Yashdeep_Garg/status/802899995733016577,
,11/27/16 08:58,0,0,#Demonetizaton K Chakkar Me Ek AntiCorruptionCrusader ki mout hogayi uske liye bhi ek #DieHo @AnupamPkher https:// twitter.com/DrKumarVishwas /status/801694845769109504 äó_,,@AnupamPkher,#Demonetizaton #DieHo,8.03E+17,https://twitter.com/Anilmolkere19k/status/802874301758119936,
,11/27/16 04:07,2,2,BREAKING: Dr Manmohan Singh Discovers His Voice. Now All Congress Needs Is Rahul Gandhi To Discover His Brain. #Demonetizaton #gadhvi,,,#Demonetizaton #gadhvi,8.03E+17,https://twitter.com/ganeshdanc/status/802801088420282369,
,11/27/16 03:10,1,0,After #Demonetizaton in India & as a financial crisis deepens,,,,,,
,11/27/16 00:14,19,17,Support #BharatBandh on 28 November against Tuglaki Decision of #Demonetizaton ! Speakup for Public Pain & Anguish India @RahulKajal3 pic.twitter.com/n3GFkTn5D7,,@RahulKajal3,#BharatBandh #Demonetizaton,8.03E+17,https://twitter.com/AskSanwar/status/802742359410745345,
,11/26/16 23:58,3,4,Dollar 70 rupaye ka hone wala hai.. shukar hai Kaka ki #Demonetizaton ki vajah se logon ke paas rupaye hi nahi hain dollar khareedne ke.,,,#Demonetizaton,8.03E+17,https://twitter.com/Iankitbharti/status/802738273185452032,
,11/26/16 23:30,0,0,When the shopkeeper finally agrees to give you 2000 ka chhutta! #Demonetizaton #Money #Modi pic.twitter.com/BPNB6MkPzs,,,#Demonetizaton #Money #Modi,8.03E+17,https://twitter.com/tixdo_/status/802731174963609600,
,11/26/16 23:19,15,15,Nope Only Those who r agnst the development of India r Antinationals While every common man is supporting #Demonetizaton opposition isn't ! https:// twitter.com/Drshadabsk/sta tus/802615910825480192 äó_,,,#Demonetizaton,8.03E+17,https://twitter.com/renu_18/status/802728509542170624,
,11/26/16 13:44,0,0,ö_¬ö_Ëö__ö«ö_Áö«†,,,,,,
,11/26/16 12:47,1,1,A whopping Rs 61,,,,,,
,11/26/16 11:59,0,0,#Demonetizaton this time is as in other policy interventions is more theatrics than a real assault on the functioning of the black economy.,,,#Demonetizaton,8.03E+17,https://twitter.com/Mkatara143/status/802557351093899264,
,11/26/16 10:58,0,0,ö_´ö«ö_¿ö__ ö_´ö_Ëö_Ÿö«ó ö_Áö__ö_ìö_Âö_Ëö__ö_Ëö_´ ö_Èö__ö_Áö«ö_ôö«ó ö_´ö«ˆ ö_´ö__ö_Áö«ö_¿ö_´ö_Áö«ö__ö__,,,,,,
,11/26/16 10:33,0,2,Asking people about #Demonetizaton on NaMo app is like questioning Salman Khan's Fans about the Killer of BlackBuck! #DemonetizationBenefits,,,#Demonetizaton #DemonetizationBenefits,8.03E+17,https://twitter.com/anaskhandx/status/802535797408796673,
,11/26/16 08:42,0,0,. @NitishKumar ö_ìö«ó,,,,,,
,11/26/16 06:54,557,572,Modi ji trying to catch the black money hoarders among general public. #Demonetizaton pic.twitter.com/uCr6OK0ISk,,,#Demonetizaton,8.02E+17,https://twitter.com/RoflGandhi_/status/802480630307164160,
,11/26/16 06:20,5,3,Shockng Secrt abt demonetizaton ! Accordng to Maj Gen Gagandeep Bkshi,,,,,,
,11/26/16 06:13,0,0,#oh no!! #BJP is the only honest party before and after #Demonetizaton https:// twitter.com/nh_india/statu s/802441341007314944 äó_,,,#oh #BJP #Demonetizaton,8.02E+17,https://twitter.com/rkasewa/status/802470400542195712,
,11/26/16 05:23,61,28,#Demonetizaton ö_Ÿö«ˆ ö_Ÿö_çö__ ö_ìö«ó ö_¬ö__ö_¿ö__ö__ö__ö«ó ö_µ ö_¬ö«†ö_¬ö_Ëö_Âö__ ö__ö_Ëö_ôö_‚ö_‰ö_ç ö_´ö«ó ö__ö__ö__ö__ ö__ö«ˆö__ ö_Âö_´ö«ö_Ÿö__ö_Ëö_¿ö«†ö_‰/ö_¬ö__ö_ñö_µö__ö__ö_Ëö_¿ö«†ö_‰/ö_Êö__ö_‰ö_´ö_µö__ö__ö_Ëö_¿ö«†ö_‰ ö_´ö«ˆ ö__ö«ëö_Ÿö__ö«ˆ ö_Èö_Ÿö«ö__ ö__ö«† ö__ö«ö_´ö«ˆ ö__ö«šö_‰ @INirajVerma,,@INirajVerma,#Demonetizaton,8.02E+17,https://twitter.com/SaundiD/status/802457626671976449,
,11/26/16 04:04,0,0,Retweeted Only Tusharä‹¢Œ¬ ( @onlytg_gt ): #D emonetizaton ö__ö«† ö_Ÿö_Ëö_Áö«ö_‚ ö__ö«ö_Áö«ö_Êö__ ö__ö«š ö_Êö_„ö«ˆ ö_Êö_„ö«ˆ ö__ö«ˆö__ö_Ëö_ ö_¬ö«†ö__ö«óö_ìö«ó ö_´ö«ˆ ö__ö_Á ö_ö_´ ö_µö__ö_Á ö_Èö_Á... http:// fb.me/7RLEFd4rZ,,@onlytg_gt,#D,8.02E+17,https://twitter.com/ChaturvediLive/status/802437976580096000,
,11/26/16 03:21,47,36,ö_ƒö_å ö_Ÿö_¬ö_ ö_¬ö«ˆö_‰ ö_Êö_¿ö__ ö_´ö«ó ö_¬ö_¬ö__ö__ ö_îö_Á ö_ƒö_Áö_µö_Ëö_Âö«ö__ ö_´ö«ˆö_ìö_Áö«óö_µö__ö__ ö_´ö«† #Demonetizaton ö_Ÿö«ˆ ö__ö_´ö__ö«óö_‚ ö_´ö«ö_¿ö«†ö_‰ ö__ö«† ö_Áö__ö«ó ö__ö«šö«_ @ArvindKejriwal @MamataOfficial pic.twitter.com/1tq522QQIA,,@ArvindKejriwal @MamataOfficial,#Demonetizaton,8.02E+17,https://twitter.com/rajendrrao/status/802427150468976640,
,11/26/16 03:13,404,427,Dollar 70 rupaye ka hone wala hai.. shukar hai Kaka ki #Demonetizaton ki vajah se logon ke paas rupaye hi nahi hain dollar khareedne ke.,,,#Demonetizaton,8.02E+17,https://twitter.com/RoflGandhi_/status/802425065979727872,
,11/26/16 02:49,1,0,ö_Ÿö__ö__ö_å ö_ƒö_å ö_Áö«ˆö_ô ö_´ö_¬ ö__ö«† ö_„ö_¿ö__ ö__ö«š - ö«_ö«_ö«_ ö__ö«óö_ìö_Ëö_,,,,,,
,11/26/16 02:38,0,1,Indian Army Seizes Rs 44 Lakhs Demonetised Currency Notes In Tamenglong,,,,,,
,11/26/16 02:25,2,3,#ö_Âö«†ö_ôö_åö_‰ö__ö«ó ö__ö«† ö_Ÿö_Ëö_Áö«ö_‚ ö__ö«ö_Áö«ö_Êö__ ö__ö«š ö_Êö_„ö«ˆ ö_Êö_„ö«ˆ ö__ö«ˆö__ö_Ëö_ ö_¬ö«†ö__ö«ó ö_´ö«ˆ ö__ö_Á ö_ö_´ ö_µö__ö_Á ö_Èö_Á ö_µö_Ëö_Èö_´ö«ö_‡ ö__ö«óö__ ö_¬ö__ö_‰ö_„ö_Âö«ˆ ö_Èö_Á ö_¬ö_ìö_åö«‰ö_Á ö__ö«† ö_ìö__ö_ö_„ö__ #Demonetizaton pic.twitter.com/k9TaAnBRSv,,,#ö_Â #Demonetizaton,8.02E+17,https://twitter.com/eparitosh/status/802413065459204096,
,11/26/16 00:40,0,0,Retweeted Narendra Modi ( @Troll_Modi ): ö_¬ö«šö_‰ ö_¬ö__ö_Âö__ö__ ö__ö«‰ö_ ö_´ö_Ë ö_«ö«†ö_çö__ö«ó ö_åö__ö«ö__ ö__ö«‰ö_´ ö__ö«ö_š ö__ö«š #Demonetizaton ö_´ö«† ö__ö__ö_„ö«‰ ö_´ö_Áö_Âö«ˆ ö_¬ö«ˆö_‰,,,,,,
,11/26/16 00:25,0,0,Retweeted Dr. Harsh Vardhan ( @drharshvardhan ): #Demonetizaton is a bold &revolutionary step to curb corruption... http:// fb.me/1Kod154zU,,@drharshvardhan,#Demonetizaton,8.02E+17,https://twitter.com/mchandra8m/status/802382824389115904,
,11/26/16 00:01,1,1,Aaaaaat Super cc @BaahubaliMovie @ssrajamouli @Shobu_ The Baahubali Way #Demonetizaton https:// twitter.com/KartikDayanand /status/802218362155581440 äó_,,@BaahubaliMovie @ssrajamouli @Shobu_,#Demonetizaton,8.02E+17,https://twitter.com/GPK_999/status/802376790698135553,
,11/25/16 23:47,0,0,ö__ö«ö_Áö«ó ö_ƒö_Áö_µö_Ëö_Âö«ö__ ö_´ö«ˆö_ìö_Áö«óö_µö__ö__ ö_ìö«ó ö_Âö«ˆ ö_´ö__ö__ ö_«ö__ ö__ö«ˆö__ ö_åö__ö__ö«ˆö_„ö__....ö_Ÿö__ ö_¬ö«ˆö_‰ ö__ö«ˆö__ ö_åö__ö__ ö_Áö__ö__ ö__ö«š... ö_¬ö«†ö__ö«ó ö__ö«ö_È ö__ö«šö«_ ö_¬ö_Âö_¬ö«†ö__ö_Â ö_åö«†ö__ ö_Áö__ö__ ö__ö«šö«_ö«_ #Demonetizaton https:// twitter.com/AamAadmiParty/ status/802211028687732736 äó_,,,#Demonetizaton,8.02E+17,https://twitter.com/aatmesh123/status/802373218048688128,
,11/25/16 23:42,0,0,This is one important step by Govt in the wake of #Demonetizaton ,,,,,,
,11/25/16 23:35,0,0,Wow. #Demonetizaton hit some real hard. They forget tht the very concept of ill gotten money is tht it is unaccounted for. https:// twitter.com/Vidyut/status/ 802368822430703617 äó_,,,#Demonetizaton,8.02E+17,https://twitter.com/orested2/status/802370224787857409,
,11/25/16 23:24,0,1,For Past One week I have not taken cash in the Atms and there is very limited cash in Atms and living in metro #Demonetizaton,,,#Demonetizaton,8.02E+17,https://twitter.com/amrithperish20/status/802367282231984128,
,11/25/16 23:23,0,0,And outright evasion during #Demonetizaton to attract 90 per cent (tax plus penalty). https:// twitter.com/bsindia/status /802358280878104576 äó_,,,#Demonetizaton,8.02E+17,https://twitter.com/aruproytweets/status/802367253702393856,
,11/25/16 23:09,0,1,Hahaha,,,,,,
